Card ID,Card Name,Card Set,Card Type,Class,Rarity,Mana Cost,Attack,Health,Card Mechanics,Race,Collectible
HERO_09,Anduin Wrynn,Basic,Hero,Priest,Free,,,30,,,True
hexfrog,Frog,Basic,Minion,Neutral,Common,,0,1,Taunt,Beast,False
HERO_01,Garrosh Hellscream,Basic,Hero,Warrior,Free,,,30,,,True
HERO_07,Gul'dan,Basic,Hero,Warlock,Free,,,30,,,True
HERO_08,Jaina Proudmoore,Basic,Hero,Mage,Free,,,30,,,True
HERO_06,Malfurion Stormrage,Basic,Hero,Druid,Free,,,30,,,True
HERO_05,Rexxar,Basic,Hero,Hunter,Free,,,30,,,True
HERO_02,Thrall,Basic,Hero,Shaman,Free,,,30,,,True
HERO_04,Uther Lightbringer,Basic,Hero,Paladin,Free,,,30,,,True
HERO_03,Valeera Sanguinar,Basic,Hero,Rogue,Free,,,30,,,True
CS2_041,Ancestral Healing,Basic,Spell,Shaman,Free,0,,,Taunt,,True
GAME_002,Avatar of the Coin,Basic,Minion,Neutral,Free,0,1,1,,,False
CS2_072,Backstab,Basic,Spell,Rogue,Free,0,,,,,True
BCON_024,Bottled Madness,Basic,Spell,Warlock,Free,0,,,,,False
BCON_021,Crackling Doom,Basic,Spell,Shaman,Free,0,,,Overload,,False
CS2_013t,Excess Mana,Basic,Spell,Druid,,0,,,,,False
EX1_169,Innervate,Basic,Spell,Druid,Free,0,,,,,True
CS2_mirror,Mirror Image,Basic,Minion,Mage,Common,0,0,2,Taunt,,False
CS2_008,Moonfire,Basic,Spell,Druid,Free,0,,,,,True
NEW1_003,Sacrificial Pact,Basic,Spell,Warlock,Free,0,,,,,True
GAME_005,The Coin,Basic,Spell,Neutral,,0,,,,,False
EX1_244,Totemic Might,Basic,Spell,Shaman,Free,0,,,,,True
EX1_277,Arcane Missiles,Basic,Spell,Mage,Free,1,,,Immune to Spell Power,,True
DS1_185,Arcane Shot,Basic,Spell,Hunter,Free,1,,,,,True
CS2_087,Blessing of Might,Basic,Spell,Paladin,Free,1,,,,,True
CS2_boar,Boar,Basic,Minion,Neutral,Common,1,1,1,,Beast,False
CS2_103,Charge,Basic,Spell,Warrior,Free,1,,,Charge,,True
CS2_005,Claw,Basic,Spell,Druid,Free,1,,,,,True
CS2_063,Corruption,Basic,Spell,Warlock,Free,1,,,,,True
CS2_074,Deadly Poison,Basic,Spell,Rogue,Free,1,,,,,True
CS2_189,Elven Archer,Basic,Minion,Neutral,Free,1,1,1,Battlecry,,True
CS2_037,Frost Shock,Basic,Spell,Shaman,Free,1,,,Freeze,,True
CS1_042,Goldshire Footman,Basic,Minion,Neutral,Free,1,1,2,Taunt,,True
EX1_508,Grimscale Oracle,Basic,Minion,Neutral,Free,1,1,1,,Murloc,True
EX1_371,Hand of Protection,Basic,Spell,Paladin,Free,1,,,Divine Shield,,True
BCON_012,Hand of Salvation,Basic,Spell,Paladin,Free,1,,,Secret,,False
NEW1_009,Healing Totem,Basic,Minion,Shaman,Free,1,0,2,,Totem,False
CS1_130,Holy Smite,Basic,Spell,Priest,Free,1,,,,,True
EX1_360,Humility,Basic,Spell,Paladin,Free,1,,,,,True
CS2_084,Hunter's Mark,Basic,Spell,Hunter,Free,1,,,,,True
CS2_091,Light's Justice,Basic,Weapon,Paladin,Free,1,1,4,,,True
EX1_025t,Mechanical Dragonling,Basic,Minion,Neutral,Common,1,2,1,,Mech,False
CS2_003,Mind Vision,Basic,Spell,Priest,Free,1,,,,,True
CS2_027,Mirror Image,Basic,Spell,Mage,Free,1,,,Taunt,,True
EX1_302,Mortal Coil,Basic,Spell,Warlock,Free,1,,,,,True
CS2_168,Murloc Raider,Basic,Minion,Neutral,Free,1,2,1,,Murloc,True
EX1_506a,Murloc Scout,Basic,Minion,Neutral,Common,1,1,1,,Murloc,False
CS2_235,Northshire Cleric,Basic,Minion,Priest,Free,1,1,3,,,True
CS2_004,Power Word: Shield,Basic,Spell,Priest,Free,1,,,,,True
CS2_050,Searing Totem,Basic,Minion,Shaman,Free,1,1,1,,Totem,False
CS2_tk1,Sheep,Basic,Minion,Neutral,Common,1,1,1,,Beast,False
CS2_101t,Silver Hand Recruit,Basic,Minion,Paladin,Free,1,1,1,,,False
CS2_075,Sinister Strike,Basic,Spell,Rogue,Free,1,,,,,True
skele11,Skeleton,Basic,Minion,Neutral,Common,1,1,1,,,False
BCON_016,Smoke Bomb,Basic,Spell,Rogue,Free,1,,,,,False
EX1_308,Soulfire,Basic,Spell,Warlock,Free,1,,,,,True
CS2_051,Stoneclaw Totem,Basic,Minion,Shaman,Free,1,0,2,Taunt,Totem,False
CS2_171,Stonetusk Boar,Basic,Minion,Neutral,Free,1,1,1,Charge,Beast,True
DS1_175,Timber Wolf,Basic,Minion,Hunter,Free,1,1,1,Aura,Beast,True
DS1_184,Tracking,Basic,Spell,Hunter,Free,1,,,,,True
CS2_065,Voidwalker,Basic,Minion,Warlock,Free,1,1,3,Taunt,Demon,True
EX1_011,Voodoo Doctor,Basic,Minion,Neutral,Free,1,2,1,Battlecry,,True
EX1_400,Whirlwind,Basic,Spell,Warrior,Free,1,,,,,True
CS2_082,Wicked Knife,Basic,Weapon,Rogue,Free,1,1,2,,,False
CS2_052,Wrath of Air Totem,Basic,Minion,Shaman,Free,1,0,2,Spell Damage,Totem,False
EX1_066,Acidic Swamp Ooze,Basic,Minion,Neutral,Free,2,3,2,Battlecry,,True
CS2_025,Arcane Explosion,Basic,Spell,Mage,Free,2,,,,,True
CS2_102,Armor Up!,Basic,Hero Power,Warrior,Free,2,,,,,False
CS2_172,Bloodfen Raptor,Basic,Minion,Neutral,Free,2,3,2,,Beast,True
CS2_173,Bluegill Warrior,Basic,Minion,Neutral,Free,2,2,1,Charge,Murloc,True
CS2_114,Cleave,Basic,Spell,Warrior,Free,2,,,,,True
CS2_083b,Dagger Mastery,Basic,Hero Power,Rogue,Free,2,,,,,False
BCON_001,Deadeye,Basic,Spell,Hunter,Free,2,,,,,False
CS2_236,Divine Spirit,Basic,Spell,Priest,Free,2,,,,,True
CS2_108,Execute,Basic,Spell,Warrior,Free,2,,,,,True
CS2_034,Fireblast,Basic,Hero Power,Mage,Free,2,,,,,False
EX1_565,Flametongue Totem,Basic,Minion,Shaman,Free,2,0,3,"Adjacent Buff, Aura",Totem,True
CS2_024,Frostbolt,Basic,Spell,Mage,Free,2,,,Freeze,,True
CS2_121,Frostwolf Grunt,Basic,Minion,Neutral,Free,2,2,2,Taunt,,True
BCON_015,Generous Spirit,Basic,Spell,Priest,Free,2,,,,,False
CS2_105,Heroic Strike,Basic,Spell,Warrior,Free,2,,,,,True
CS2_089,Holy Light,Basic,Spell,Paladin,Free,2,,,,,True
CS2_142,Kobold Geomancer,Basic,Minion,Neutral,Free,2,2,2,Spell Damage,,True
CS1h_001,Lesser Heal,Basic,Hero Power,Priest,Free,2,,,,,False
CS2_056,Life Tap,Basic,Hero Power,Warlock,Free,2,,,,,False
CS2_009,Mark of the Wild,Basic,Spell,Druid,Free,2,,,Taunt,,True
DS1_233,Mind Blast,Basic,Spell,Priest,Free,2,,,,,True
EX1_506,Murloc Tidehunter,Basic,Minion,Neutral,Free,2,2,1,Battlecry,Murloc,True
GAME_006,NOOOOOOOOOOOO,Basic,Spell,Neutral,,2,,,,,False
EX1_015,Novice Engineer,Basic,Minion,Neutral,Free,2,1,1,Battlecry,,True
CS2_101,Reinforce,Basic,Hero Power,Paladin,Free,2,,,,,False
CS2_120,River Crocolisk,Basic,Minion,Neutral,Free,2,2,3,,Beast,True
CS2_045,Rockbiter Weapon,Basic,Spell,Shaman,Free,2,,,,,True
EX1_581,Sap,Basic,Spell,Rogue,Free,2,,,,,True
CS2_234,Shadow Word: Pain,Basic,Spell,Priest,Free,2,,,,,True
CS2_017,Shapeshift,Basic,Hero Power,Druid,Free,2,,,,,False
EX1_278,Shiv,Basic,Spell,Rogue,Free,2,,,,,True
DS1h_292,Steady Shot,Basic,Hero Power,Hunter,Free,2,,,,,False
EX1_306,Succubus,Basic,Minion,Warlock,Free,2,4,3,Battlecry,Demon,True
CS2_049,Totemic Call,Basic,Hero Power,Shaman,Free,2,,,,,False
CS2_013,Wild Growth,Basic,Spell,Druid,Free,2,,,,,True
CS2_039,Windfury,Basic,Spell,Shaman,Free,2,,,Windfury,,True
NEW1_031,Animal Companion,Basic,Spell,Hunter,Free,3,,,,,True
CS2_023,Arcane Intellect,Basic,Spell,Mage,Free,3,,,,,True
BCON_026,Blazing Longsword,Basic,Weapon,Warrior,Free,3,2,3,,,False
EX1_582,Dalaran Mage,Basic,Minion,Neutral,Free,3,1,4,Spell Damage,,True
CS2_061,Drain Life,Basic,Spell,Warlock,Free,3,,,,,True
EX1_129,Fan of Knives,Basic,Spell,Rogue,Free,3,,,,,True
CS2_106,Fiery War Axe,Basic,Weapon,Warrior,Free,3,3,2,,,True
CS2_026,Frost Nova,Basic,Spell,Mage,Free,3,,,Freeze,,True
CS2_007,Healing Touch,Basic,Spell,Druid,Free,3,,,,,True
NEW1_034,Huffer,Basic,Minion,Hunter,Common,3,4,2,Charge,Beast,False
CS2_141,Ironforge Rifleman,Basic,Minion,Neutral,Free,3,2,2,Battlecry,,True
CS2_125,Ironfur Grizzly,Basic,Minion,Neutral,Free,3,3,3,Taunt,Beast,True
EX1_539,Kill Command,Basic,Spell,Hunter,Free,3,,,,,True
NEW1_033,Leokk,Basic,Minion,Hunter,Common,3,2,4,Aura,Beast,False
